Linux 3.16.0-4-amd64 (process-err431624-7ssxz) 	07/31/16 	_x86_64_	(4 CPU)

19:32:34        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
19:32:35        all      8.00      0.00      4.00      0.50      0.00      0.00      0.25      0.00      0.00     87.25
19:32:35          0     12.12      0.00      3.03      2.02      0.00      0.00      0.00      0.00      0.00     82.83
19:32:35          1      8.91      0.00      4.95      0.00      0.00      0.00      0.00      0.00      0.00     86.14
19:32:35          2      3.96      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     94.06
19:32:35          3      8.16      0.00      6.12      0.00      0.00      0.00      0.00      0.00      0.00     85.71
19:32:36        all     18.32      0.00      2.97      0.25      0.00      0.00      0.00      0.00      0.00     78.47
19:32:36          0      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
19:32:36          1      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     98.00
19:32:36          2     63.00      0.00      8.00      0.00      0.00      0.00      0.00      0.00      0.00     29.00
19:32:36          3      4.90      0.00      0.98      0.98      0.00      0.00      0.00      0.00      0.00     93.14
19:32:37        all     23.19      0.00      2.49      0.00      0.00      0.00      0.00      0.00      0.00     74.31
19:32:37          0      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:32:37          1      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:32:37          2     92.00      0.00      8.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
19:32:37          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:32:38        all      5.72      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     93.28
19:32:38          0      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     98.02
19:32:38          1      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
19:32:38          2     20.79      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     77.23
19:32:38          3      0.98      0.00      0.98      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:32:39        all      0.50      0.00      0.50      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:32:39          0      1.96      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     98.04
19:32:39          1      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:32:39          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
19:32:39          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
19:32:40        all      1.49      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     97.51
19:32:40          0      0.99      0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00     97.03
19:32:40          1      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
