GSM565269	CD8Tcell-N0-1 [HG-U133A]
GSM565270	CD8Tcell-N0-2 [HG-U133A]
GSM565271	CD8Tcell-N0-3 [HG-U133A]
GSM565272	CD8Tcell-N0-4 [HG-U133A]
GSM565273	CD4Tcell-N0-1 [HG-U133A]
GSM565274	CD4Tcell-N0-2 [HG-U133A]
GSM565275	CD4Tcell-N0-3 [HG-U133A]
GSM565276	CD4Tcell-Th1-restimulated12hour-1 [HG-U133A]
GSM565277	CD4Tcell-Th1-restimulated12hour-2 [HG-U133A]
GSM565278	CD4Tcell-Th1-restimulated48hour-1 [HG-U133A]
GSM565279	CD4Tcell-Th1-restimulated48hour-2 [HG-U133A]
GSM565280	CD4Tcell-Th1-restimulated48hour-3 [HG-U133A]
GSM565281	CD4Tcell-Th2-restimulated12hour-1 [HG-U133A]
GSM565282	CD4Tcell-Th2-restimulated12hour-2 [HG-U133A]
GSM565283	CD4Tcell-Th2-restimulated12hour-3 [HG-U133A]
GSM565284	CD4Tcell-Th2-restimulated48hour-1 [HG-U133A]
GSM565285	CD4Tcell-Th2-restimulated48hour-2 [HG-U133A]
GSM565286	CD4Tcell-Th2-restimulated48hour-3 [HG-U133A]
GSM565287	MemoryTcell-RO-unactivated-1 [HG-U133A]
GSM565288	MemoryTcell-RO-unactivated-2 [HG-U133A]
GSM565289	MemoryTcell-RO-unactivated-3 [HG-U133A]
GSM565290	MemoryTcell-RO-activated-1 [HG-U133A]
GSM565291	MemoryTcell-RO-activated-2 [HG-U133A]
GSM565292	MemoryTcell-RO-activated-3 [HG-U133A]
GSM565293	NKcell-control-1 [HG-U133A]
GSM565294	NKcell-control-2 [HG-U133A]
GSM565295	NKcell-control-3 [HG-U133A]
GSM565296	NKcell-control-4 [HG-U133A]
GSM565297	NKcell-IL2stimulated-1 [HG-U133A]
GSM565298	NKcell-IL2stimulated-2 [HG-U133A]
GSM565299	NKcell-IL2stimulated-3 [HG-U133A]
GSM565300	NKcell-IL2stimulated-4 [HG-U133A]
GSM565301	NKcell-IL2stimulated-5 [HG-U133A]
GSM565302	NKcell-IL15stimulated-1 [HG-U133A]
GSM565303	NKcell-IL15stimulated-2 [HG-U133A]
GSM565304	NKcell-IL15stimulated-3 [HG-U133A]
GSM565305	NKcell-IL15stimulated-4 [HG-U133A]
GSM565306	NKcell-IL15stimulated-5 [HG-U133A]
GSM565307	NKcell-IL15stimulated-6 [HG-U133A]
GSM565308	Bcell-naïve-1 [HG-U133A]
GSM565309	Bcell-naïve-2 [HG-U133A]
GSM565310	Bcell-naïve-3 [HG-U133A]
GSM565311	Bcell-naïve-4 [HG-U133A]
GSM565312	Bcell-naïve-5 [HG-U133A]
GSM565313	Bcell-naïve-6 [HG-U133A]
GSM565314	Bcell-naïve-7 [HG-U133A]
GSM565315	Bcell-Memory_IgG_IgA-1 [HG-U133A]
GSM565316	Bcell-Memory_IgG_IgA-2 [HG-U133A]
GSM565317	Bcell-Memory_IgG_IgA-3 [HG-U133A]
GSM565318	Bcell-Memory_IgG_IgA-4 [HG-U133A]
GSM565319	Bcell-Memory_IgM-1 [HG-U133A]
GSM565320	Bcell-Memory_IgM-2 [HG-U133A]
GSM565321	Bcell-Memory_IgM-3 [HG-U133A]
GSM565322	Bcell-Memory_IgM-4 [HG-U133A]
GSM565323	PlasmaCell-FromPBMC-1 [HG-U133A]
GSM565324	PlasmaCell-FromPBMC-2 [HG-U133A]
GSM565325	PlasmaCell-FromPBMC-3 [HG-U133A]
GSM565326	PlasmaCell-FromBoneMarrow-1 [HG-U133A]
GSM565327	PlasmaCell-FromBoneMarrow-2 [HG-U133A]
GSM565328	PlasmaCell-FromBoneMarrow-3 [HG-U133A]
GSM565329	PlasmaCell-FromBoneMarrow-4 [HG-U133A]
GSM565330	Monocyte-Day0-1 [HG-U133A]
GSM565331	Monocyte-Day0-2 [HG-U133A]
GSM565332	Monocyte-Day0-3 [HG-U133A]
GSM565333	Monocyte-Day0-4 [HG-U133A]
GSM565334	Monocyte-Day0-5 [HG-U133A]
GSM565335	Monocyte-Day0-6 [HG-U133A]
GSM565336	Monocyte-Day0-7 [HG-U133A]
GSM565337	Monocyte-Day0-8 [HG-U133A]
GSM565338	Monocyte-Day0-9 [HG-U133A]
GSM565339	Monocyte-Day0-10 [HG-U133A]
GSM565340	Monocyte-Day0-11 [HG-U133A]
GSM565341	Monocyte-Day0-12 [HG-U133A]
GSM565342	Monocyte-Day1-1 [HG-U133A]
GSM565343	Monocyte-Day1-2 [HG-U133A]
GSM565344	Monocyte-Day1-3 [HG-U133A]
GSM565345	Monocyte-Day1-4 [HG-U133A]
GSM565346	Monocyte-Day1-5 [HG-U133A]
GSM565347	Monocyte-Day1-6 [HG-U133A]
GSM565348	Monocyte-Day1-7 [HG-U133A]
GSM565349	Monocyte-Day1-8 [HG-U133A]
GSM565350	Monocyte-Day1-9 [HG-U133A]
GSM565351	Monocyte-Day1-10 [HG-U133A]
GSM565352	Monocyte-Day1-11 [HG-U133A]
GSM565353	Monocyte-Day1-12 [HG-U133A]
GSM565354	Monocyte-Day7-1 [HG-U133A]
GSM565355	Monocyte-Day7-2 [HG-U133A]
GSM565356	Monocyte-Day7-3 [HG-U133A]
GSM565357	Monocyte-Day7-4 [HG-U133A]
GSM565358	Monocyte-Day7-5 [HG-U133A]
GSM565359	Monocyte-Day7-6 [HG-U133A]
GSM565360	Monocyte-Day7-7 [HG-U133A]
GSM565361	Monocyte-Day7-8 [HG-U133A]
GSM565362	Monocyte-Day7-9 [HG-U133A]
GSM565363	Monocyte-Day7-10 [HG-U133A]
GSM565364	Monocyte-Day7-11 [HG-U133A]
GSM565365	Monocyte-Day7-12 [HG-U133A]
GSM565366	DendriticCell-Control-1 [HG-U133A]
GSM565367	DendriticCell-Control-2 [HG-U133A]
GSM565368	DendriticCell-Control-3 [HG-U133A]
GSM565369	DendriticCell-Control-4 [HG-U133A]
GSM565370	DendriticCell-Control-5 [HG-U133A]
GSM565371	DendriticCell-Control-6 [HG-U133A]
GSM565372	DendriticCell-LPSstimulated-1 [HG-U133A]
GSM565373	DendriticCell-LPSstimulated-2 [HG-U133A]
GSM565374	DendriticCell-LPSstimulated-3 [HG-U133A]
GSM565375	DendriticCell-LPSstimulated-4 [HG-U133A]
GSM565376	DendriticCell-LPSstimulated-5 [HG-U133A]
GSM565377	DendriticCell-LPSstimulated-6 [HG-U133A]
GSM565378	Neutrophil-Resting-1 [HG-U133A]
GSM565379	Neutrophil-Resting-2 [HG-U133A]
GSM565380	Neutrophil-Resting-3 [HG-U133A]
GSM565381	Neutrophil-Resting-4 [HG-U133A]
GSM565382	Neutrophil-Resting-5 [HG-U133A]
GSM565986	CD8Tcell-N0-1 [HG-U133B]
GSM565987	CD8Tcell-N0-2 [HG-U133B]
GSM565988	CD8Tcell-N0-3 [HG-U133B]
GSM565989	CD8Tcell-N0-4 [HG-U133B]
GSM565990	CD4Tcell-N0-1 [HG-U133B]
GSM565991	CD4Tcell-N0-2 [HG-U133B]
GSM565992	CD4Tcell-N0-3 [HG-U133B]
GSM565993	CD4Tcell-Th1-restimulated12hour-1 [HG-U133B]
GSM565994	CD4Tcell-Th1-restimulated12hour-2 [HG-U133B]
GSM565995	CD4Tcell-Th1-restimulated48hour-1 [HG-U133B]
GSM565996	CD4Tcell-Th1-restimulated48hour-2 [HG-U133B]
GSM565997	CD4Tcell-Th1-restimulated48hour-3 [HG-U133B]
GSM565998	CD4Tcell-Th2-restimulated12hour-1 [HG-U133B]
GSM565999	CD4Tcell-Th2-restimulated12hour-2 [HG-U133B]
GSM566000	CD4Tcell-Th2-restimulated12hour-3 [HG-U133B]
GSM566001	CD4Tcell-Th2-restimulated48hour-1 [HG-U133B]
GSM566002	CD4Tcell-Th2-restimulated48hour-2 [HG-U133B]
GSM566003	CD4Tcell-Th2-restimulated48hour-3 [HG-U133B]
GSM566004	MemoryTcell-RO-unactivated-1 [HG-U133B]
GSM566005	MemoryTcell-RO-unactivated-2 [HG-U133B]
GSM566006	MemoryTcell-RO-unactivated-3 [HG-U133B]
GSM566007	MemoryTcell-RO-activated-1 [HG-U133B]
GSM566008	MemoryTcell-RO-activated-2 [HG-U133B]
GSM566009	MemoryTcell-RO-activated-3 [HG-U133B]
GSM566010	NKcell-control-1 [HG-U133B]
GSM566011	NKcell-control-2 [HG-U133B]
GSM566012	NKcell-control-3 [HG-U133B]
GSM566013	NKcell-control-4 [HG-U133B]
GSM566014	NKcell-IL2stimulated-1 [HG-U133B]
GSM566015	NKcell-IL2stimulated-2 [HG-U133B]
GSM566016	NKcell-IL2stimulated-3 [HG-U133B]
GSM566017	NKcell-IL2stimulated-4 [HG-U133B]
GSM566018	NKcell-IL2stimulated-5 [HG-U133B]
GSM566019	NKcell-IL15stimulated-1 [HG-U133B]
GSM566020	NKcell-IL15stimulated-2 [HG-U133B]
GSM566021	NKcell-IL15stimulated-3 [HG-U133B]
GSM566022	NKcell-IL15stimulated-4 [HG-U133B]
GSM566023	NKcell-IL15stimulated-5 [HG-U133B]
GSM566024	NKcell-IL15stimulated-6 [HG-U133B]
GSM566025	Bcell-naïve-1 [HG-U133B]
GSM566026	Bcell-naïve-2 [HG-U133B]
GSM566027	Bcell-naïve-3 [HG-U133B]
GSM566028	Bcell-naïve-4 [HG-U133B]
GSM566029	Bcell-naïve-5 [HG-U133B]
GSM566030	Bcell-naïve-6 [HG-U133B]
GSM566031	Bcell-naïve-7 [HG-U133B]
GSM566032	Bcell-Memory_IgG_IgA-1 [HG-U133B]
GSM566033	Bcell-Memory_IgG_IgA-2 [HG-U133B]
GSM566034	Bcell-Memory_IgG_IgA-3 [HG-U133B]
GSM566035	Bcell-Memory_IgG_IgA-4 [HG-U133B]
GSM566036	Bcell-Memory_IgM-1 [HG-U133B]
GSM566037	Bcell-Memory_IgM-2 [HG-U133B]
GSM566038	Bcell-Memory_IgM-3 [HG-U133B]
GSM566039	Bcell-Memory_IgM-4 [HG-U133B]
GSM566040	PlasmaCell-FromPBMC-1 [HG-U133B]
GSM566041	PlasmaCell-FromPBMC-2 [HG-U133B]
GSM566042	PlasmaCell-FromPBMC-3 [HG-U133B]
GSM566043	PlasmaCell-FromBoneMarrow-1 [HG-U133B]
GSM566044	PlasmaCell-FromBoneMarrow-2 [HG-U133B]
GSM566045	PlasmaCell-FromBoneMarrow-3 [HG-U133B]
GSM566046	PlasmaCell-FromBoneMarrow-4 [HG-U133B]
GSM566047	Monocyte-Day0-1 [HG-U133B]
GSM566048	Monocyte-Day0-2 [HG-U133B]
GSM566049	Monocyte-Day0-3 [HG-U133B]
GSM566050	Monocyte-Day0-4 [HG-U133B]
GSM566051	Monocyte-Day0-5 [HG-U133B]
GSM566052	Monocyte-Day0-6 [HG-U133B]
GSM566053	Monocyte-Day0-7 [HG-U133B]
GSM566054	Monocyte-Day0-8 [HG-U133B]
GSM566055	Monocyte-Day0-9 [HG-U133B]
GSM566056	Monocyte-Day0-10 [HG-U133B]
GSM566057	Monocyte-Day0-11 [HG-U133B]
GSM566058	Monocyte-Day0-12 [HG-U133B]
GSM566059	Monocyte-Day1-1 [HG-U133B]
GSM566060	Monocyte-Day1-2 [HG-U133B]
GSM566061	Monocyte-Day1-3 [HG-U133B]
GSM566062	Monocyte-Day1-4 [HG-U133B]
GSM566063	Monocyte-Day1-5 [HG-U133B]
GSM566064	Monocyte-Day1-6 [HG-U133B]
GSM566065	Monocyte-Day1-7 [HG-U133B]
GSM566066	Monocyte-Day1-8 [HG-U133B]
GSM566067	Monocyte-Day1-9 [HG-U133B]
GSM566068	Monocyte-Day1-10 [HG-U133B]
GSM566069	Monocyte-Day1-11 [HG-U133B]
GSM566070	Monocyte-Day1-12 [HG-U133B]
GSM566071	Monocyte-Day7-1 [HG-U133B]
GSM566072	Monocyte-Day7-2 [HG-U133B]
GSM566073	Monocyte-Day7-3 [HG-U133B]
GSM566074	Monocyte-Day7-4 [HG-U133B]
GSM566075	Monocyte-Day7-5 [HG-U133B]
GSM566076	Monocyte-Day7-6 [HG-U133B]
GSM566077	Monocyte-Day7-7 [HG-U133B]
GSM566078	Monocyte-Day7-8 [HG-U133B]
GSM566079	Monocyte-Day7-9 [HG-U133B]
GSM566080	Monocyte-Day7-10 [HG-U133B]
GSM566081	Monocyte-Day7-11 [HG-U133B]
GSM566082	Monocyte-Day7-12 [HG-U133B]
GSM566083	DendriticCell-Control-1 [HG-U133B]
