filename	type	subtype	replicate
GSM565269	CD8Tcell	N0	1
GSM565270	CD8Tcell	N0	2
GSM565271	CD8Tcell	N0	3
GSM565272	CD8Tcell	N0	4
GSM565273	CD4Tcell	N0	1
GSM565274	CD4Tcell	N0	2
GSM565275	CD4Tcell	N0	3
GSM565276	CD4Tcell	Th1-restimulated12hour	1
GSM565277	CD4Tcell	Th1-restimulated12hour	2
GSM565278	CD4Tcell	Th1-restimulated48hour	1
GSM565279	CD4Tcell	Th1-restimulated48hour	2
GSM565280	CD4Tcell	Th1-restimulated48hour	3
GSM565281	CD4Tcell	Th2-restimulated12hour	1
GSM565282	CD4Tcell	Th2-restimulated12hour	2
GSM565283	CD4Tcell	Th2-restimulated12hour	3
GSM565284	CD4Tcell	Th2-restimulated48hour	1
GSM565285	CD4Tcell	Th2-restimulated48hour	2
GSM565286	CD4Tcell	Th2-restimulated48hour	3
GSM565287	MemoryTcell	RO-unactivated	1
GSM565288	MemoryTcell	RO-unactivated	2
GSM565289	MemoryTcell	RO-unactivated	3
GSM565290	MemoryTcell	RO-activated	1
GSM565291	MemoryTcell	RO-activated	2
GSM565292	MemoryTcell	RO-activated	3
GSM565293	NKcell	control	1
GSM565294	NKcell	control	2
GSM565295	NKcell	control	3
GSM565296	NKcell	control	4
GSM565297	NKcell	IL2stimulated	1
GSM565298	NKcell	IL2stimulated	2
GSM565299	NKcell	IL2stimulated	3
GSM565300	NKcell	IL2stimulated	4
GSM565301	NKcell	IL2stimulated	5
GSM565302	NKcell	IL15stimulated	1
GSM565303	NKcell	IL15stimulated	2
GSM565304	NKcell	IL15stimulated	3
GSM565305	NKcell	IL15stimulated	4
GSM565306	NKcell	IL15stimulated	5
GSM565307	NKcell	IL15stimulated	6
GSM565308	Bcell	naïve	1
GSM565309	Bcell	naïve	2
GSM565310	Bcell	naïve	3
GSM565311	Bcell	naïve	4
GSM565312	Bcell	naïve	5
GSM565313	Bcell	naïve	6
GSM565314	Bcell	naïve	7
GSM565315	Bcell	Memory_IgG_IgA	1
GSM565316	Bcell	Memory_IgG_IgA	2
GSM565317	Bcell	Memory_IgG_IgA	3
GSM565318	Bcell	Memory_IgG_IgA	4
GSM565319	Bcell	Memory_IgM	1
GSM565320	Bcell	Memory_IgM	2
GSM565321	Bcell	Memory_IgM	3
GSM565322	Bcell	Memory_IgM	4
GSM565323	PlasmaCell	FromPBMC	1
GSM565324	PlasmaCell	FromPBMC	2
GSM565325	PlasmaCell	FromPBMC	3
GSM565326	PlasmaCell	FromBoneMarrow	1
GSM565327	PlasmaCell	FromBoneMarrow	2
GSM565328	PlasmaCell	FromBoneMarrow	3
GSM565329	PlasmaCell	FromBoneMarrow	4
GSM565330	Monocyte	Day0	1
GSM565331	Monocyte	Day0	2
GSM565332	Monocyte	Day0	3
GSM565333	Monocyte	Day0	4
GSM565334	Monocyte	Day0	5
GSM565335	Monocyte	Day0	6
GSM565336	Monocyte	Day0	7
GSM565337	Monocyte	Day0	8
GSM565338	Monocyte	Day0	9
GSM565339	Monocyte	Day0	10
GSM565340	Monocyte	Day0	11
GSM565341	Monocyte	Day0	12
GSM565342	Monocyte	Day1	1
GSM565343	Monocyte	Day1	2
GSM565344	Monocyte	Day1	3
GSM565345	Monocyte	Day1	4
GSM565346	Monocyte	Day1	5
GSM565347	Monocyte	Day1	6
GSM565348	Monocyte	Day1	7
GSM565349	Monocyte	Day1	8
GSM565350	Monocyte	Day1	9
GSM565351	Monocyte	Day1	10
GSM565352	Monocyte	Day1	11
GSM565353	Monocyte	Day1	12
GSM565354	Monocyte	Day7	1
GSM565355	Monocyte	Day7	2
GSM565356	Monocyte	Day7	3
GSM565357	Monocyte	Day7	4
GSM565358	Monocyte	Day7	5
GSM565359	Monocyte	Day7	6
GSM565360	Monocyte	Day7	7
GSM565361	Monocyte	Day7	8
GSM565362	Monocyte	Day7	9
GSM565363	Monocyte	Day7	10
GSM565364	Monocyte	Day7	11
GSM565365	Monocyte	Day7	12
GSM565366	DendriticCell	Control	1
GSM565367	DendriticCell	Control	2
GSM565368	DendriticCell	Control	3
GSM565369	DendriticCell	Control	4
GSM565370	DendriticCell	Control	5
GSM565371	DendriticCell	Control	6
GSM565372	DendriticCell	LPSstimulated	1
GSM565373	DendriticCell	LPSstimulated	2
GSM565374	DendriticCell	LPSstimulated	3
GSM565375	DendriticCell	LPSstimulated	4
GSM565376	DendriticCell	LPSstimulated	5
GSM565377	DendriticCell	LPSstimulated	6
GSM565378	Neutrophil	Resting	1
GSM565379	Neutrophil	Resting	2
GSM565380	Neutrophil	Resting	3
GSM565381	Neutrophil	Resting	4
GSM565382	Neutrophil	Resting	5
