B cells,Blood vessels,CD8 T cells,Cytotoxic cells,DC,Eosinophils,Lymph vessels,Macrophages,Mast cells,NK CD56bright cells,NK CD56dim cells,NK cells,Neutrophils,Normal mucosa,SW480 cancer cells,T cells,T helper cells,TFH,TReg,Tcm,Tem,Tgd,Th1 cells,Th17 cells,Th2 cells,aDC,iDC,pDC
207819_s_at,204677_at,218405_at,209870_s_at,206407_s_at,205566_at,206742_at,203381_s_at,203196_at,215908_at,221417_x_at,209979_at,215783_s_at,202274_at,218908_at,219528_s_at,201306_s_at,219521_at,221333_at,203747_at,212609_s_at,205103_at,213419_at,208402_at,213245_at,207533_at,209735_at,206148_at
221234_s_at,,217729_s_at,221087_s_at,207900_at,49452_at,204879_at,218673_s_at,206281_at,215409_at,216434_at,217058_at,205715_at,209612_s_at,203304_at,205831_at,203428_s_at,216734_s_at,221334_s_at,216197_at,210109_at,207840_at,40148_at,216876_s_at,220841_s_at,219424_at,202201_at,
219497_s_at,,209871_s_at,214450_at,207861_at,43427_at,209946_at,214452_at,205428_s_at,204014_at,202320_at,212972_x_at,202878_s_at,209173_at,211518_s_at,206545_at,205446_s_at,206126_at,,208442_s_at,206978_at,203562_at,201525_at,205707_at,220842_at,210029_at,220162_s_at,
210347_s_at,,219168_s_at,204794_at,207277_at,221928_at,,214390_s_at,206676_at,204015_s_at,210164_at,209646_x_at,202877_s_at,212067_s_at,209591_s_at,213539_at,205965_at,209574_s_at,,210858_x_at,207794_at,211144_x_at,212062_at,206419_at,221569_at,205569_at,210325_at,
206255_at,,64432_at,37145_at,205404_at,222195_s_at,,208075_s_at,214533_at,205906_at,221658_s_at,217580_x_at,210789_x_at,201616_s_at,208711_s_at,205456_at,219544_at,207996_s_at,,207686_s_at,208719_s_at,216920_s_at,201641_at,,214373_at,218400_at,206749_at,
207655_s_at,,212574_x_at,205495_s_at,32625_at,211922_s_at,,203645_s_at,205624_at,38398_at,208179_x_at,207004_at,208052_x_at,212077_at,207529_at,206804_at,211856_x_at,204995_at,,210441_at,211825_s_at,217143_s_at,205548_s_at,,208353_x_at,,205987_at,
207445_s_at,,210054_at,205488_at,212841_s_at,208304_at,,215049_x_at,205653_at,206436_at,216552_x_at,209057_x_at,205931_s_at,212097_at,214079_at,213958_at,221699_s_at,204260_at,,207971_s_at,210786_s_at,209813_x_at,204103_at,,210334_x_at,,215784_at,
206398_s_at,,203538_at,210321_at,,206207_at,,203507_at,206871_at,214676_x_at,211532_x_at,206986_at,221541_at,209847_at,204540_at,206761_at,218248_at,213060_s_at,,215105_at,32502_at,,205692_s_at,,205167_s_at,,208592_s_at,
215925_s_at,,205758_at,214470_at,,220813_at,,211190_x_at,209710_at,221672_s_at,208203_x_at,211225_at,203591_s_at,201884_at,205774_at,218805_at,212546_s_at,205242_at,,204576_s_at,207106_s_at,,206508_at,,204510_at,,206932_at,
205229_s_at,,207979_s_at,210606_x_at,,207111_at,,209396_s_at,207067_s_at,215938_s_at,211687_x_at,209415_at,206515_at,215076_s_at,214571_at,202747_s_at,213594_x_at,218839_at,,213584_s_at,208262_x_at,,210571_s_at,,209172_s_at,,206682_at,
205544_s_at,,215332_s_at,207795_s_at,,203463_s_at,,208168_s_at,211549_s_at,204691_x_at,207314_x_at,211865_s_at,218660_at,201852_x_at,200894_s_at,204891_s_at,208798_x_at,44783_s_at,,214272_at,205897_at,,210229_s_at,,211469_s_at,,203104_at,
215565_at,,218929_at,207796_x_at,,211810_s_at,,219890_at,205051_s_at,210647_x_at,216907_x_at,207739_s_at,211816_x_at,211161_s_at,214651_s_at,204890_s_at,210439_at,214463_x_at,,214131_at,206279_at,,221331_x_at,,206974_at,,204925_at,
220377_at,,200664_s_at,220646_s_at,,206361_at,,52651_at,215039_at,204803_s_at,211688_x_at,203426_s_at,211307_s_at,202551_s_at,202409_at,211685_s_at,202746_at,210547_x_at,,215041_s_at,201815_s_at,,206806_at,,202534_x_at,,203305_at,
221239_s_at,,200666_s_at,205821_at,,203394_s_at,,221019_s_at,210102_at,206365_at,207313_x_at,216888_at,207674_at,201893_x_at,205258_at,210038_at,214109_at,207949_s_at,,215221_at,201759_at,,214844_s_at,,48808_at,,203980_at,
204836_at,,210607_at,213915_at,,203395_s_at,,202450_s_at,205011_at,,216676_x_at,211050_x_at,204007_at,211896_s_at,204989_s_at,210039_s_at,201414_s_at,219615_s_at,,205285_s_at,217397_at,,211478_s_at,,209717_at,,210220_at,
206896_s_at,,203725_at,210426_x_at,,209398_at,,214974_x_at,204041_at,,211389_x_at,215182_x_at,204006_s_at,202994_s_at,209784_s_at,210116_at,218768_at,221874_at,,213472_at,217230_at,,203716_s_at,,209602_s_at,,203815_at,
205671_s_at,,207460_at,204198_s_at,,221170_at,,203922_s_at,218211_s_at,,218638_s_at,203842_s_at,218610_s_at,202489_s_at,32137_at,205790_at,219126_at,206363_at,,215864_at,,,209457_at,,202967_at,,206062_at,
212671_s_at,,203543_s_at,218921_at,,207167_at,,220380_at,203949_at,,217875_s_at,215582_x_at,205119_s_at,564_at,204733_at,209670_at,213305_s_at,209348_s_at,,206965_at,,,219454_at,,220085_at,,219697_at,
215118_s_at,,202595_s_at,52940_at,,211517_s_at,,201324_at,207497_s_at,,,209280_at,210773_s_at,213944_x_at,207935_s_at,209671_x_at,201528_at,218573_at,,215133_s_at,,,211417_x_at,,221111_at,,221274_s_at,
213674_x_at,,219541_at,213908_at,,210744_s_at,,203646_at,207496_at,,,217095_x_at,210772_at,212294_at,201820_at,213830_at,202361_at,218259_at,,214786_at,,,38037_at,,207509_s_at,,204580_at,
222285_at,,216361_s_at,205883_at,,204301_at,,214701_s_at,207741_x_at,,,217088_s_at,213524_s_at,203903_s_at,213713_s_at,216191_s_at,203340_s_at,210480_s_at,,216624_s_at,,,210354_at,,217892_s_at,,219666_at,
209374_s_at,,206390_x_at,,,205262_at,,215891_s_at,206645_s_at,,,207860_at,214455_at,211959_at,219491_at,217147_s_at,215524_x_at,33197_at,,221805_at,,,206999_at,,204179_at,,218019_s_at,
215217_at,,202165_at,,,210036_s_at,,204984_at,206726_at,,,220691_at,219403_s_at,201162_at,203417_at,213193_x_at,217412_at,208189_s_at,,210556_at,,,221165_s_at,,212472_at,,218375_at,
217138_x_at,,214617_at,,,214873_at,,204983_s_at,212686_at,,,206827_s_at,207094_at,213953_at,218678_at,210915_x_at,200683_s_at,216945_x_at,,209997_x_at,,,205282_at,,219502_at,,208510_s_at,
206478_at,,47069_at,,,59375_at,,205206_at,211743_s_at,,,221068_at,207008_at,202202_s_at,207360_s_at,,,213534_s_at,,215175_at,,,209840_s_at,,210617_at,,204117_at,
209200_at,,208319_s_at,,,218344_s_at,,205819_at,205127_at,,,214174_s_at,216782_at,204272_at,207239_s_at,,,207634_at,,215920_s_at,,,206975_at,,206942_s_at,,203911_at,
209199_s_at,,210172_at,,,206111_at,,204058_at,204035_at,,,220024_s_at,211806_s_at,202291_s_at,203423_at,,,218476_at,,215521_at,,,205120_s_at,,208131_s_at,,221572_s_at,
212715_s_at,,213649_at,,,210230_at,,219607_s_at,210796_x_at,,,210459_at,204307_at,201497_x_at,209885_at,,,204201_s_at,,217610_at,,,205691_at,,212110_at,,216604_s_at,
217418_x_at,,207057_at,,,216360_x_at,,214770_at,206520_x_at,,,208014_x_at,210146_x_at,207961_x_at,219143_s_at,,,205336_at,,215083_at,,,220118_at,,203076_s_at,,205613_at,
210356_x_at,,202495_at,,,202981_x_at,,208423_s_at,206519_x_at,,,220181_x_at,206522_at,202555_s_at,204268_at,,,219256_s_at,,215201_at,,,,,203077_s_at,,202286_s_at,
219073_s_at,,206555_s_at,,,219695_at,,211887_x_at,205857_at,,,215607_x_at,203434_s_at,209289_at,206027_at,,,220485_s_at,,205787_x_at,,,,,202691_at,,221266_s_at,
205901_at,,214958_s_at,,,207594_s_at,,219295_s_at,57588_at,,,216981_x_at,203435_s_at,212226_s_at,208916_at,,,220868_s_at,,215743_at,,,,,204728_s_at,,203940_s_at,
218948_at,,207001_x_at,,,212990_at,,212187_x_at,219090_at,,,206057_x_at,222326_at,209355_s_at,219733_s_at,,,210993_s_at,,203578_s_at,,,,,,,,
218949_s_at,,201557_at,,,203313_s_at,,211748_x_at,206283_s_at,,,207555_s_at,205863_at,209071_s_at,210854_x_at,,,210073_at,,216850_at,,,,,,,,
210432_s_at,,208078_s_at,,,201108_s_at,,202052_s_at,215382_x_at,,,206438_x_at,220000_at,200795_at,213843_x_at,,,202786_at,,215874_at,,,,,,,,
205316_at,,201367_s_at,,,201109_s_at,,201647_s_at,205683_x_at,,,219058_x_at,205896_at,205547_s_at,221701_s_at,,,54632_at,,221638_s_at,,,,,,,,
205861_at,,201369_s_at,,,204776_at,,203889_at,216474_x_at,,,206366_x_at,218136_s_at,210987_x_at,41037_at,,,220212_s_at,,210800_at,,,,,,,,
209995_s_at,,218006_s_at,,,212665_at,,212989_at,210084_x_at,,,214567_s_at,211163_s_at,206116_s_at,202504_at,,,204529_s_at,,215275_at,,,,,,,,
39318_at,,212620_at,,,216370_s_at,,205342_s_at,217023_x_at,,,206416_at,206222_at,203824_at,203797_at,,,210055_at,,206828_at,,,,,,,,
206641_at,,206059_at,,,214183_s_at,,211470_s_at,207134_x_at,,,215019_x_at,220528_at,205809_s_at,203798_s_at,,,57516_at,,206624_at,,,,,,,,
,,,,,,,,,,,206180_x_at,,,,,,,,,,,,,,,,
