Probe	UNQ	Reference	Name	Description	Category	Highest Immune Level	Immune/Non-Immune Ratio
226416_at	UNQ21152	LL:90459	3'HEXO	3' exoribonuclease	Multiple	4764	5.64
231852_at	UNQ21152	LL:90459	3'HEXO	3' exoribonuclease	Lymphocyte	2471	15.94
228376_at	UNQ12525	LL:138121	a1/3GTP	"alpha-1,3-galactosyltransferase pseudogene"	Dendritic Cell	11008	5.18
216384_x_at	UNQ26094	LL:3	A2MP	alpha-2-macroglobulin pseudogene	Multiple	9331	3.65
202804_at	UNQ4185	LL:4363	ABCC1	"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"	Myeloid	4399	3.98
228490_at	UNQ2280	LL:11057	ABHD2	abhydrolase domain containing 2	Myeloid	5053	4.28
226893_at	UNQ13763	LL:27	ABL2	"v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)"	Myeloid	2593	4.18
229164_s_at	UNQ16855	LL:80325	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Neutrophil	11840	6.77
226442_at	UNQ16855	LL:80325	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Neutrophil	5874	18.95
213497_at	UNQ18175	LL:25841	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	Dendritic Cell	2418	4.88
227621_at	UNQ20686	LL:39	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	Multiple	14318	3.63
204638_at	UNQ1750	LL:54	ACP5	"acid phosphatase 5, tartrate resistant"	Myeloid	12110	4.87
200728_at	UNQ16551	LL:10097	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Multiple	10095	3.47
200729_s_at	UNQ16551	LL:10097	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Multiple	5515	3.73
200727_s_at	UNQ16551	LL:10097	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Multiple	4328	4.44
228603_at	UNQ17179	LL:10096	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Multiple	3951	4.59
231727_s_at	UNQ17364	LL:57409	AD023	AD023 protein	Multiple	3331	3.79
223533_at	UNQ5965	LL:84230	AD158	hypothetical protein AD158	Multiple	3592	4.95
202952_s_at	UNQ346	LL:8038	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	Dendritic Cell	2303	7.09
209765_at	UNQ5438	LL:8728	ADAM19	a disintegrin and metalloproteinase domain 19 (meltrin beta)	Multiple	2759	4.24
205180_s_at	UNQ797	LL:101	ADAM8	a disintegrin and metalloproteinase domain 8	Multiple	3596	15.63
203741_s_at	UNQ5270	LL:113	ADCY7	adenylate cyclase 7	Multiple	2725	5.86
205013_s_at	UNQ2397	LL:135	ADORA2A	adenosine A2a receptor	Myeloid	3962	12.58
219558_at	UNQ8848	LL:79572	AFURS1	ATPase family homolog up-regulated in senescence cells	Monocyte	7101	24.49
212297_at	UNQ8848	LL:79572	AFURS1	ATPase family homolog up-regulated in senescence cells	Monocyte	6371	5.77
242853_at	UNQ8848	LL:79572	AFURS1	ATPase family homolog up-regulated in senescence cells	Monocyte	6036	9.36
225114_at	UNQ16754	LL:8540	AGPS	alkylglycerone phosphate synthase	Multiple	3454	5.01
215051_x_at	UNQ21167	LL:199	AIF1	allograft inflammatory factor 1	Myeloid	11770	7.24
213095_x_at	UNQ21167	LL:199	AIF1	allograft inflammatory factor 1	Myeloid	8578	8.21
209901_x_at	UNQ21167	LL:199	AIF1	allograft inflammatory factor 1	Myeloid	8126	8.17
206513_at	UNQ13934	LL:9447	AIM2	absent in melanoma 2	Lymphocyte	3688	8.48
227039_at	UNQ13867	LL:11214	AKAP13	A kinase (PRKA) anchor protein 13	Multiple	7334	5.37
225701_at	UNQ15149	LL:80709	AKNA	AT-hook transcription factor AKNA	Multiple	10542	7.4
