,B Cell,Dendritic Cell,Lymphocyte,Monocyte,Multiple,Myeloid,NK Cell,Neutrophil,T Cell
0,222556_at,228376_at,231852_at,219558_at,226416_at,202804_at,220307_at,229164_s_at,57082_at
1,206121_at,213497_at,206513_at,212297_at,216384_x_at,228490_at,222786_at,226442_at,221790_s_at
2,213281_at,202952_s_at,227877_at,242853_at,227621_at,226893_at,219529_at,212360_at,219918_s_at
3,238117_at,207328_at,221505_at,203300_x_at,200728_at,204638_at,206245_s_at,218023_s_at,219528_s_at
4,243780_at,205379_at,208103_s_at,221530_s_at,200729_s_at,205013_s_at,201363_s_at,208304_at,228597_at
5,222915_s_at,206407_s_at,221937_at,231303_at,200727_s_at,215051_x_at,207313_x_at,205627_at,241871_at
6,219667_s_at,207900_at,206632_s_at,206011_at,228603_at,213095_x_at,211688_x_at,229967_at,225297_at
7,219497_s_at,210325_at,202206_at,221463_at,231727_s_at,209901_x_at,211397_x_at,206207_at,203418_at
8,206641_at,206749_at,202207_at,211434_s_at,223533_at,228094_at,208426_x_at,232555_at,213226_at
9,230983_at,215784_at,202208_s_at,205789_at,209765_at,224461_s_at,211245_x_at,218924_s_at,214710_s_at
10,206255_at,208592_s_at,226915_s_at,233540_s_at,205180_s_at,207992_s_at,211410_x_at,218923_at,228729_at
11,207655_s_at,205686_s_at,223101_s_at,220935_s_at,203741_s_at,208074_s_at,208198_x_at,234644_x_at,202705_at
12,235275_at,217197_x_at,244519_at,219890_at,225114_at,224025_s_at,211532_x_at,211163_s_at,213539_at
13,220059_at,206756_at,210858_x_at,221731_x_at,227039_at,210873_x_at,208203_x_at,206222_at,205456_at
14,218940_at,206682_at,212672_at,204620_s_at,225701_at,203175_at,211687_x_at,210484_s_at,206804_at
15,221739_at,213415_at,208442_s_at,211571_s_at,225621_at,225173_at,216676_x_at,224765_at,230489_at
16,216483_s_at,223219_s_at,221234_s_at,215646_s_at,214366_s_at,209281_s_at,208179_x_at,203561_at,213958_at
17,218282_at,208303_s_at,227173_s_at,204619_s_at,224810_s_at,201971_s_at,211389_x_at,204007_at,211900_x_at
18,230777_s_at,211122_s_at,236796_at,200766_at,201051_at,202874_s_at,220646_s_at,204006_s_at,211893_x_at
19,206398_s_at,239529_at,236307_at,202087_s_at,222715_s_at,228928_x_at,233289_at,220945_x_at,205758_at
20,228592_at,236673_at,205965_at,204470_at,230925_at,233186_s_at,234165_at,210773_s_at,207979_s_at
21,210356_x_at,229074_at,222895_s_at,207850_at,204205_at,219966_x_at,236561_at,209864_at,215332_s_at
22,217418_x_at,229566_at,233302_at,215101_s_at,214182_at,205681_at,228788_at,227769_at,210559_s_at
23,231418_at,229334_at,201169_s_at,214974_x_at,218870_at,203140_at,213996_at,221345_at,203214_x_at
24,228599_at,226556_at,236226_at,203922_s_at,204882_at,228758_at,,117_at,203213_at
25,205049_s_at,237154_at,212613_at,231205_at,38149_at,227143_s_at,,207094_at,223381_at
26,205297_s_at,225888_at,204820_s_at,203695_s_at,224451_x_at,211725_s_at,,207008_at,226661_at
27,208961_s_at,227245_at,201456_s_at,203821_at,232543_x_at,204493_at,,227356_at,224753_at
28,208960_s_at,227970_at,244033_at,38037_at,226906_s_at,204860_s_at,,225597_at,204172_at
29,227189_at,228557_at,220688_s_at,208893_s_at,204951_at,224413_s_at,,218963_s_at,236341_at
30,243798_at,226215_s_at,208910_s_at,205767_at,205482_x_at,203773_x_at,,209179_s_at,234362_s_at
31,208674_x_at,35254_at,227199_at,231972_at,224204_x_at,213246_at,,218132_s_at,231794_at
32,230648_at,243196_s_at,225723_at,235086_at,211963_s_at,219316_s_at,,206877_at,221331_x_at
33,215565_at,202837_at,223514_at,238727_at,203388_at,217966_s_at,,223179_at,211469_s_at
34,219551_at,227649_s_at,243154_at,238893_at,218115_at,210785_s_at,,230860_at,206974_at
35,218696_at,201564_s_at,209682_at,236592_at,202653_s_at,225252_at,,221764_at,203385_at
36,214446_at,210933_s_at,201091_s_at,219093_at,204194_at,220088_at,,213727_x_at,211272_s_at
37,235745_at,204415_at,200951_s_at,223278_at,223220_s_at,226135_at,,209858_x_at,222875_at
38,211048_s_at,201520_s_at,200952_s_at,205349_at,225472_at,225919_s_at,,206764_x_at,227607_at
39,242104_at,201501_s_at,207840_at,223767_at,217986_s_at,235626_at,,218136_s_at,200664_s_at
40,215906_at,226160_at,205831_at,227361_at,222891_s_at,201850_at,,205147_x_at,228069_at
41,231628_s_at,236203_at,210031_at,201631_s_at,244035_at,210072_at,,207677_s_at,204794_at
42,234851_at,238900_at,209795_at,220745_at,225606_at,207861_at,,223650_s_at,222847_s_at
43,224683_at,209480_at,237009_at,210118_s_at,236439_at,211744_s_at,,200919_at,236787_at
44,243968_x_at,210719_s_at,214049_x_at,205067_at,229437_at,240232_at,,232629_at,234440_at
45,235982_at,203665_at,214551_s_at,39402_at,219191_s_at,207176_s_at,,202100_at,228273_at
46,221239_s_at,227220_at,206761_at,220322_at,230499_at,210895_s_at,,226106_at,224634_at
