gene_name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ABCB4	1.0	2.0	782.0001700528576	139.99997104	3.00707	5.0	272.31241	1.0	14.03124	2.002061	4.0205090000000006	7.9999970000000005	8.000001000000001	2.0	0.0	10.06743	5.0	4.0	12.07602	7.000000999999999	1390.17838227	4.000004000000001	5.029888	1.0	6.0143777	901.179302342	8.01055	1.9999959999999999	128.6349786	4.000004000000001	329.0004	0.0	3.04995	562.4367100673574	4.0	0.0	9.0	2.0	2.0	12.00667	4.0	9.0	420.37225	1.0	2.00717	1607.4897299999998	7.00972	403.462791481	9.99999	2.0	6.999998	88.99999	3.0	396.42779462318003	5.999999000000001	8.999998999999999	12.0208	4.00347	901.8376800000001	4.0	6.0	7.0	2.0
ABCC4	174.71485	71.38846000000001	11.24475	165.68780999999996	59.50698	286.58180999999996	27.1018	141.34336	177.54349000000002	87.16167999999999	98.10886	69.49135000000001	33.19485	189.67988	88.56127000000001	195.90357	50.169830000000005	107.71628	43.408229999999996	48.55558	23.742810000000002	88.84288	87.3332	111.32548999999999	148.63705	14.313612	118.76084	59.88675	129.69131	62.456160000000004	29.98208	51.5755	99.62101999999999	15.231480000000001	136.99964	86.15785000000001	176.48012000000003	80.07938	93.24107690000001	52.33748	81.13575	38.3555	127.25574	60.974380000000004	267.30849	20.38528	45.21729	133.70544	74.05041	203.34491	85.15227000000002	75.1395	76.80389000000001	12.10702	59.083843430429994	72.03039	43.87995	87.84839999999998	43.160799999999995	54.91326	62.59460999999999	162.4811271278	201.26266
ABCG2	43.000021000000004	2.0	5.0	6.0	6.0	19.999975	6.0	16.0	44.99996	35.0	24.00002	5.000001000000001	94.0	27.00002	11.0	50.0	4.0	40.999970000000005	7.0	52.0	6.0	7.000000000000001	23.999959999999998	20.99998	36.00001	8.0	35.00002	11.0	3.0	18.99996	21.000030000000002	15.0	18.0	2.0	26.99998	13.000006	26.0	20.999979999999997	23.99995	109.0	24.0	4.0	4.0	21.000010000000003	11.000014	7.0	61.00003	5.0	107.99999799999999	28.999959999999998	26.00001	1.0	12.0	2.0	48.0	21.99997	8.0	26.000020000000003	3.0	36.0	36.999966	18.0	30.999997
ABHD2	870.50541	638.5506399999999	612.95028	648.969836	819.47966	1413.85766	463.41641000000004	790.1510099999999	2553.4802	1082.8873899999999	1124.44075	1130.227019	1053.90102	967.9268600701874	392.5588494982	2561.9382800000003	988.80738	1405.94567	990.21808916648	1546.10023	1070.28276	899.8786500000001	1136.6446999999998	1183.9588899999999	1048.1172199999999	625.6556500000002	695.8793	416.38379	657.3958299999999	709.1649419347201	567.1811300000002	685.7465299999999	1095.42768	707.07019	1047.23900056832	910.93046	861.62292	1161.1588499999998	838.7940699999999	1751.3949199999997	1168.12368	1470.3062000000002	1850.9385600000003	1314.2539000000002	1101.6211799999996	990.9771600000001	828.82047	2004.71391	1381.42874	1078.89249944	1163.86128	458.77942	685.9167019999999	318.78163	1161.32106	1204.6817800000001	903.92156	940.85575	470.75543	838.7348	1061.9650900000001	625.1614000000001	1200.6260499999999
ABT1	276.0	346.0	644.0	510.0	324.0	604.0	209.0	599.0	1350.0	461.0	464.0	398.0	372.0	381.0	140.0	1442.0	386.0	480.0	280.0	459.0	875.0	239.0	415.0	563.0	423.0	434.0	609.0	302.0	504.0	223.0	193.0	243.0	504.0	339.0	317.0	470.0	419.0	455.0	231.0	452.0	444.0	434.0	931.0	463.0	436.0	553.0	417.0	918.9910000000001	619.0	267.0	443.0	245.0	244.0	241.0	483.0	562.0	301.0	636.0	358.0	234.0	453.0	439.0	349.0
AC006483.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.00442	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006486.9	9.81295	4.549259999999999	21.5031	46.4619	3.97782	1.61336e-06	6.38091	5.26621	31.628	12.7181	7.95713	0.0	27.443	15.216	4.648280000000001	25.2607	9.0911	21.2177	15.7911	21.3929	14.205	8.752369999999999	8.90639	0.0	12.2264	32.9563	14.9944	0.0	13.7941	6.27159	3.5418	18.0747	5.164680000000001	14.0719	0.0	14.7814	8.24961	6.48987	0.0	14.8427	9.64637	10.4957	44.8732	22.5725	5.29087	42.9452	15.706	47.5414	0.0	15.5469	21.6044	28.2679	9.16087	29.4767	0.0	8.39167	4.81156	10.6279	9.44195	18.7231	4.98335	14.5621	0.0
AC009414.1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.000238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0001120000000001	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
AC011295.1	0.0	10.842	1.03916	1.7263099999999998	3.8064	0.0	0.0	0.0	24.3383	2.6274000000000004e-07	0.0	0.0	0.0	2.26611	0.0	31.7532	0.104804	58.1727	12.5768	10.606	0.0	0.0	5.13783	15.2292	27.7433	6.5671	27.206999999999997	6.88887	18.9462	0.0	0.0	0.0	11.5262	0.0	2.59294	16.403	19.4341	7.6214	0.0	0.0	60.599	0.0	0.0	0.0	6.4631	4.27349	1.13019e-06	0.0	2.92255	0.0	3.20778	0.0	2.0785999999999998e-08	7.85054	0.0	0.0	0.0	0.0	5.39686	3.15929	3.22722	0.0	13.0555
AC069282.6	77.0	69.0	101.0	108.0	54.0	130.0	27.0	88.0	282.0	45.0	64.0	81.0	41.0	49.0	33.0	319.0	39.0	62.0	57.0	55.0	76.0	67.0	47.0	31.0	129.0	82.0	134.0	62.0	87.0	28.0	28.0	52.0	56.0	76.0	40.0	62.0	163.0	61.0	79.0	54.0	36.0	30.0	150.0	54.0	87.0	65.0	112.0	133.0	66.0	70.0	76.0	30.0	45.0	45.0	58.0	34.0	62.0	58.0	64.0	37.0	105.0	77.0	78.0
AC087380.14	4.0	2.0	0.0	4.0	1.0	19.0	1.0	6.0	11.0	1.0	1.0	4.0	1.0	10.0	1.0	14.0	0.0	3.0	5.0	5.0	5.0	17.0	2.0	2.0	9.0	1.0	12.0	1.0	0.0	2.0	11.0	4.0	3.0	0.0	4.0	2.0	8.0	3.0	4.0	3.0	2.0	0.0	4.0	5.0	10.0	5.0	5.0	10.0	4.0	17.0	1.0	1.0	0.0	0.0	2.0	2.0	3.0	1.0	3.0	4.0	2.0	2.0	5.0
AC093166.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
