CellType,Symbol,AffymetrixID,UGCluster,EntrezGene ,Name
aDC,CCL1,207533_at,Hs.72918,6346,chemokine (C-C motif) ligand 1
aDC,EBI3,219424_at,Hs.501452,10148,Epstein-Barr virus induced gene 3
aDC,INDO,210029_at,Hs.840,3620,"indoleamine-pyrrole 2,3 dioxygenase"
aDC,LAMP3,205569_at,Hs.518448,27074,lysosomal-associated membrane protein 3
aDC,OAS3,218400_at,Hs.528634,4940,"2'-5'-oligoadenylate synthetase 3, 100kDa"
B cells,ABCB4,207819_s_at,Hs.654403,5244,"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
B cells,BACH2,221234_s_at,Hs.269764,60468,"BTB and CNC homology 1, basic leucine zipper transcription factor 2"
B cells,BCL11A,219497_s_at,Hs.370549,53335,B-cell CLL/lymphoma 11A (zinc finger protein)
B cells,BCL11A,210347_s_at,Hs.370549,53335,B-cell CLL/lymphoma 11A (zinc finger protein)
B cells,BLK,206255_at,Hs.146591,640,B lymphoid tyrosine kinase
B cells,BLNK,207655_s_at,Hs.665244,29760,B-cell linker
B cells,CCR9,207445_s_at,Hs.225946,10803,chemokine (C-C motif) receptor 9
B cells,CD19,206398_s_at,Hs.652262,930,CD19 molecule
B cells,CD72,215925_s_at,Hs.116481,971,CD72 molecule
B cells,COCH,205229_s_at,Hs.21016,1690,"coagulation factor C homolog, cochlin (Limulus polyphemus)"
B cells,CR2,205544_s_at,Hs.445757,1380,complement component (3d/Epstein Barr virus) receptor 2
B cells,DTNB,215565_at,Hs.307720,1838,"dystrobrevin, beta"
B cells,FAM30A,220377_at,Hs.649259,29064,"family with sequence similarity 30, member A"
B cells,FCRL2,221239_s_at,Hs.437393,79368,Fc receptor-like 2
B cells,GLDC,204836_at,Hs.584238,2731,glycine dehydrogenase (decarboxylating)
B cells,GNG7,206896_s_at,Hs.515544,2788,"guanine nucleotide binding protein (G protein), gamma 7"
B cells,HLA-DOB,205671_s_at,Hs.1802,3112,"major histocompatibility complex, class II, DO beta"
B cells,HLA-DQA1,212671_s_at,Hs.387679,3117,"major histocompatibility complex, class II, DQ alpha 1"
B cells,IGHA1,215118_s_at,Hs.648398,3493,immunoglobulin heavy constant alpha 1
B cells,IGHG1,213674_x_at,Hs.510635,3500,immunoglobulin heavy constant gamma 1 (G1m marker)
B cells,IGHG1,222285_at,Hs.510635,3500,immunoglobulin heavy constant gamma 1 (G1m marker)
B cells,IGHM,209374_s_at,Hs.510635,3507,immunoglobulin heavy constant mu
B cells,IGKC,215217_at,Hs.449621,3514,immunoglobulin kappa constant
B cells,IGL@,217138_x_at,Hs.449585,3535,immunoglobulin lambda locus
B cells,KIAA0125,206478_at,"Hs.632338, Hs.649259",9834,KIAA0125
B cells,MEF2C,209200_at,Hs.654474,4208,myocyte enhancer factor 2C
B cells,MEF2C,209199_s_at,Hs.654474,4208,myocyte enhancer factor 2C
B cells,MICAL3,212715_s_at,"Hs.528024, Hs.646433",57553,"microtubule associated monoxygenase, calponin and LIM domain containing 3"
B cells,MS4A1,217418_x_at,Hs.438040,931,"membrane-spanning 4-domains, subfamily A, member 1"
B cells,MS4A1,210356_x_at,Hs.438040,931,"membrane-spanning 4-domains, subfamily A, member 1"
B cells,OSBPL10,219073_s_at,Hs.150122,114884,oxysterol binding protein-like 10
B cells,PNOC,205901_at,Hs.88218,5368,prepronociceptin
B cells,QRSL1,218948_at,Hs.406917,55278,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
B cells,QRSL1,218949_s_at,Hs.406917,55278,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
B cells,SCN3A,210432_s_at,"Hs.435274, Hs.671090",6328,"sodium channel, voltage-gated, type III, alpha subunit"
B cells,SLC15A2,205316_at,Hs.518089,6565,"solute carrier family 15 (H+/peptide transporter), member 2"
B cells,SPIB,205861_at,Hs.437905,6689,Spi-B transcription factor (Spi-1/PU.1 related)
B cells,TCL1A,209995_s_at,Hs.2484,8115,T-cell leukemia/lymphoma 1A
B cells,TCL1A,39318_at,Hs.2484,8115,T-cell leukemia/lymphoma 1A
B cells,TNFRSF17,206641_at,Hs.2556,608,"tumor necrosis factor receptor superfamily, member 17"
Blood vessels,CDH5,204677_at,Hs.76206,1003,"cadherin 5, type 2, VE-cadherin (vascular epithelium)"
CD8 T cells,ABT1,218405_at,Hs.254406,29777,activator of basal transcription 1
CD8 T cells,AES,217729_s_at,Hs.515053,166,amino-terminal enhancer of split
CD8 T cells,APBA2,209871_s_at,Hs.618112,321,"amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)"
